127.0.0.1 - - [28/Mar/2019:08:17:56 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:17:59 +0900] "GET /BasicJSP/01_dr/includeDirective.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:39:03 +0900] "GET /BasicJSP/01_dr/footer.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:39:43 +0900] "GET /BasicJSP/01_dr/footer.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:39:56 +0900] "GET /BasicJSP/01_dr/footer.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:40:20 +0900] "GET /BasicJSP/01_dr/main.jsp HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:40:42 +0900] "GET /BasicJSP/01_dr/main.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:41:18 +0900] "GET /BasicJSP/01_dr/header.jsp HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:42:24 +0900] "GET /BasicJSP/01_dr/main.jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:43:39 +0900] "GET /BasicJSP/01_dr/main.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:44:06 +0900] "GET /BasicJSP/01_dr/main.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:49:13 +0900] "GET /BasicJSP/01_dr/header.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:51:43 +0900] "GET /BasicJSP/01_dr/header.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:51:51 +0900] "GET /BasicJSP/01_dr/header.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:54:08 +0900] "GET /BasicJSP/01_dr/header.jsp HTTP/1.1" 500 3529
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:57:27 +0900] "GET /BasicJSP/01_dr/header.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:58:30 +0900] "GET /BasicJSP/01_dr/header.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [28/Mar/2019:09:02:38 +0900] "GET /BasicJSP/01_dr/main.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [28/Mar/2019:09:11:22 +0900] "GET /BasicJSP/01_dr/main.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [28/Mar/2019:09:34:27 +0900] "GET /BasicJSP/02_sc/scriptTest2.jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [28/Mar/2019:09:34:45 +0900] "GET /BasicJSP/02_sc/scriptTest2.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [28/Mar/2019:09:40:13 +0900] "GET /BasicJSP/02_sc/scriptTest3.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [28/Mar/2019:09:40:27 +0900] "GET /BasicJSP/02_sc/scriptTest3.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [28/Mar/2019:10:07:41 +0900] "GET /BasicJSP/02_sc/scriptTest4.jsp HTTP/1.1" 500 2624
0:0:0:0:0:0:0:1 - - [28/Mar/2019:10:08:25 +0900] "GET /BasicJSP/02_sc/scriptTest4.jsp HTTP/1.1" 200 203
