127.0.0.1 - - [11/Jul/2019:09:33:55 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:33:56 +0900] "GET /BasicJSP/jdbc07/member_2401.jsp HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:34:07 +0900] "POST /BasicJSP/jdbc07/memberPro_2401.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:34:58 +0900] "GET /BasicJSP/jdbc07/member_2401.jsp HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:35:03 +0900] "POST /BasicJSP/jdbc07/memberPro_2401.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:37:13 +0900] "GET /BasicJSP/jdbc07/member_2401.jsp HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:37:23 +0900] "POST /BasicJSP/jdbc07/memberPro_2401.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:38:48 +0900] "GET /BasicJSP/jdbc07/member_2401.jsp HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:38:57 +0900] "POST /BasicJSP/jdbc07/memberPro_2401.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:40:54 +0900] "GET /BasicJSP/jdbc07/member_2401.jsp HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:41:03 +0900] "POST /BasicJSP/jdbc07/memberPro_2401.jsp HTTP/1.1" 200 262
